month,facility,indicator,value,target
2023-01,North Shore Hospital,Hand Hygiene Compliance (%),81.24,80.0
2023-01,North Shore Hospital,Falls per 1000 Bed Days,4.88,5.0
2023-01,North Shore Hospital,Medication Errors per 1000 Admissions,3.23,2.5
2023-01,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.81,1.5
2023-01,North Shore Hospital,Patient Experience Score (%),83.13,85.0
2023-01,North Shore Hospital,HAI Rate per 1000 Bed Days,1.94,1.5
2023-01,North Shore Hospital,Complaint Resolution within 20 Days (%),70.42,80.0
2023-01,North Shore Hospital,Adverse Event Closure within 30 Days (%),61.73,75.0
2023-01,Waitakere Hospital,Hand Hygiene Compliance (%),85.56,80.0
2023-01,Waitakere Hospital,Falls per 1000 Bed Days,4.81,5.0
2023-01,Waitakere Hospital,Medication Errors per 1000 Admissions,1.9,2.5
2023-01,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,2.44,1.5
2023-01,Waitakere Hospital,Patient Experience Score (%),74.47,85.0
2023-01,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.78,1.5
2023-01,Waitakere Hospital,Complaint Resolution within 20 Days (%),59.78,80.0
2023-01,Waitakere Hospital,Adverse Event Closure within 30 Days (%),56.51,75.0
2023-01,Community Services North,Hand Hygiene Compliance (%),86.03,80.0
2023-01,Community Services North,Falls per 1000 Bed Days,6.83,5.0
2023-01,Community Services North,Medication Errors per 1000 Admissions,3.72,2.5
2023-01,Community Services North,Pressure Injuries per 1000 Bed Days,0.68,1.5
2023-01,Community Services North,Patient Experience Score (%),76.58,85.0
2023-01,Community Services North,HAI Rate per 1000 Bed Days,2.78,1.5
2023-01,Community Services North,Complaint Resolution within 20 Days (%),69.36,80.0
2023-01,Community Services North,Adverse Event Closure within 30 Days (%),60.11,75.0
2023-01,Community Services West,Hand Hygiene Compliance (%),78.75,80.0
2023-01,Community Services West,Falls per 1000 Bed Days,3.21,5.0
2023-01,Community Services West,Medication Errors per 1000 Admissions,3.58,2.5
2023-01,Community Services West,Pressure Injuries per 1000 Bed Days,3.08,1.5
2023-01,Community Services West,Patient Experience Score (%),81.31,85.0
2023-01,Community Services West,HAI Rate per 1000 Bed Days,0.78,1.5
2023-01,Community Services West,Complaint Resolution within 20 Days (%),74.26,80.0
2023-01,Community Services West,Adverse Event Closure within 30 Days (%),62.17,75.0
2023-02,North Shore Hospital,Hand Hygiene Compliance (%),84.74,80.0
2023-02,North Shore Hospital,Falls per 1000 Bed Days,5.91,5.0
2023-02,North Shore Hospital,Medication Errors per 1000 Admissions,4.08,2.5
2023-02,North Shore Hospital,Pressure Injuries per 1000 Bed Days,2.5,1.5
2023-02,North Shore Hospital,Patient Experience Score (%),82.9,85.0
2023-02,North Shore Hospital,HAI Rate per 1000 Bed Days,1.98,1.5
2023-02,North Shore Hospital,Complaint Resolution within 20 Days (%),65.08,80.0
2023-02,North Shore Hospital,Adverse Event Closure within 30 Days (%),66.2,75.0
2023-02,Waitakere Hospital,Hand Hygiene Compliance (%),78.77,80.0
2023-02,Waitakere Hospital,Falls per 1000 Bed Days,4.6,5.0
2023-02,Waitakere Hospital,Medication Errors per 1000 Admissions,3.14,2.5
2023-02,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,0.97,1.5
2023-02,Waitakere Hospital,Patient Experience Score (%),86.88,85.0
2023-02,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.37,1.5
2023-02,Waitakere Hospital,Complaint Resolution within 20 Days (%),72.41,80.0
2023-02,Waitakere Hospital,Adverse Event Closure within 30 Days (%),57.54,75.0
2023-02,Community Services North,Hand Hygiene Compliance (%),81.49,80.0
2023-02,Community Services North,Falls per 1000 Bed Days,3.41,5.0
2023-02,Community Services North,Medication Errors per 1000 Admissions,4.5,2.5
2023-02,Community Services North,Pressure Injuries per 1000 Bed Days,3.12,1.5
2023-02,Community Services North,Patient Experience Score (%),69.89,85.0
2023-02,Community Services North,HAI Rate per 1000 Bed Days,0.83,1.5
2023-02,Community Services North,Complaint Resolution within 20 Days (%),65.86,80.0
2023-02,Community Services North,Adverse Event Closure within 30 Days (%),64.15,75.0
2023-02,Community Services West,Hand Hygiene Compliance (%),87.97,80.0
2023-02,Community Services West,Falls per 1000 Bed Days,4.23,5.0
2023-02,Community Services West,Medication Errors per 1000 Admissions,4.87,2.5
2023-02,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2023-02,Community Services West,Patient Experience Score (%),81.41,85.0
2023-02,Community Services West,HAI Rate per 1000 Bed Days,3.92,1.5
2023-02,Community Services West,Complaint Resolution within 20 Days (%),69.89,80.0
2023-02,Community Services West,Adverse Event Closure within 30 Days (%),66.14,75.0
2023-03,North Shore Hospital,Hand Hygiene Compliance (%),81.9,80.0
2023-03,North Shore Hospital,Falls per 1000 Bed Days,5.49,5.0
2023-03,North Shore Hospital,Medication Errors per 1000 Admissions,3.33,2.5
2023-03,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.23,1.5
2023-03,North Shore Hospital,Patient Experience Score (%),76.66,85.0
2023-03,North Shore Hospital,HAI Rate per 1000 Bed Days,2.33,1.5
2023-03,North Shore Hospital,Complaint Resolution within 20 Days (%),66.26,80.0
2023-03,North Shore Hospital,Adverse Event Closure within 30 Days (%),56.68,75.0
2023-03,Waitakere Hospital,Hand Hygiene Compliance (%),80.59,80.0
2023-03,Waitakere Hospital,Falls per 1000 Bed Days,5.1,5.0
2023-03,Waitakere Hospital,Medication Errors per 1000 Admissions,4.13,2.5
2023-03,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.56,1.5
2023-03,Waitakere Hospital,Patient Experience Score (%),79.39,85.0
2023-03,Waitakere Hospital,HAI Rate per 1000 Bed Days,2.61,1.5
2023-03,Waitakere Hospital,Complaint Resolution within 20 Days (%),66.9,80.0
2023-03,Waitakere Hospital,Adverse Event Closure within 30 Days (%),52.92,75.0
2023-03,Community Services North,Hand Hygiene Compliance (%),81.76,80.0
2023-03,Community Services North,Falls per 1000 Bed Days,3.39,5.0
2023-03,Community Services North,Medication Errors per 1000 Admissions,2.61,2.5
2023-03,Community Services North,Pressure Injuries per 1000 Bed Days,0.64,1.5
2023-03,Community Services North,Patient Experience Score (%),85.1,85.0
2023-03,Community Services North,HAI Rate per 1000 Bed Days,1.4,1.5
2023-03,Community Services North,Complaint Resolution within 20 Days (%),65.76,80.0
2023-03,Community Services North,Adverse Event Closure within 30 Days (%),64.73,75.0
2023-03,Community Services West,Hand Hygiene Compliance (%),80.17,80.0
2023-03,Community Services West,Falls per 1000 Bed Days,7.9,5.0
2023-03,Community Services West,Medication Errors per 1000 Admissions,1.75,2.5
2023-03,Community Services West,Pressure Injuries per 1000 Bed Days,3.8,1.5
2023-03,Community Services West,Patient Experience Score (%),77.4,85.0
2023-03,Community Services West,HAI Rate per 1000 Bed Days,0.03,1.5
2023-03,Community Services West,Complaint Resolution within 20 Days (%),55.21,80.0
2023-03,Community Services West,Adverse Event Closure within 30 Days (%),53.13,75.0
2023-04,North Shore Hospital,Hand Hygiene Compliance (%),83.53,80.0
2023-04,North Shore Hospital,Falls per 1000 Bed Days,5.38,5.0
2023-04,North Shore Hospital,Medication Errors per 1000 Admissions,3.35,2.5
2023-04,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.7,1.5
2023-04,North Shore Hospital,Patient Experience Score (%),83.44,85.0
2023-04,North Shore Hospital,HAI Rate per 1000 Bed Days,2.03,1.5
2023-04,North Shore Hospital,Complaint Resolution within 20 Days (%),56.69,80.0
2023-04,North Shore Hospital,Adverse Event Closure within 30 Days (%),61.86,75.0
2023-04,Waitakere Hospital,Hand Hygiene Compliance (%),84.47,80.0
2023-04,Waitakere Hospital,Falls per 1000 Bed Days,5.06,5.0
2023-04,Waitakere Hospital,Medication Errors per 1000 Admissions,2.68,2.5
2023-04,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.58,1.5
2023-04,Waitakere Hospital,Patient Experience Score (%),80.21,85.0
2023-04,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.82,1.5
2023-04,Waitakere Hospital,Complaint Resolution within 20 Days (%),62.41,80.0
2023-04,Waitakere Hospital,Adverse Event Closure within 30 Days (%),54.73,75.0
2023-04,Community Services North,Hand Hygiene Compliance (%),83.07,80.0
2023-04,Community Services North,Falls per 1000 Bed Days,5.3,5.0
2023-04,Community Services North,Medication Errors per 1000 Admissions,2.38,2.5
2023-04,Community Services North,Pressure Injuries per 1000 Bed Days,0.71,1.5
2023-04,Community Services North,Patient Experience Score (%),78.93,85.0
2023-04,Community Services North,HAI Rate per 1000 Bed Days,3.9,1.5
2023-04,Community Services North,Complaint Resolution within 20 Days (%),63.69,80.0
2023-04,Community Services North,Adverse Event Closure within 30 Days (%),59.57,75.0
2023-04,Community Services West,Hand Hygiene Compliance (%),81.94,80.0
2023-04,Community Services West,Falls per 1000 Bed Days,6.18,5.0
2023-04,Community Services West,Medication Errors per 1000 Admissions,0.76,2.5
2023-04,Community Services West,Pressure Injuries per 1000 Bed Days,0.0,1.5
2023-04,Community Services West,Patient Experience Score (%),78.14,85.0
2023-04,Community Services West,HAI Rate per 1000 Bed Days,0.07,1.5
2023-04,Community Services West,Complaint Resolution within 20 Days (%),62.55,80.0
2023-04,Community Services West,Adverse Event Closure within 30 Days (%),58.71,75.0
2023-05,North Shore Hospital,Hand Hygiene Compliance (%),81.8,80.0
2023-05,North Shore Hospital,Falls per 1000 Bed Days,4.92,5.0
2023-05,North Shore Hospital,Medication Errors per 1000 Admissions,2.91,2.5
2023-05,North Shore Hospital,Pressure Injuries per 1000 Bed Days,1.3,1.5
2023-05,North Shore Hospital,Patient Experience Score (%),79.9,85.0
2023-05,North Shore Hospital,HAI Rate per 1000 Bed Days,2.44,1.5
2023-05,North Shore Hospital,Complaint Resolution within 20 Days (%),60.45,80.0
2023-05,North Shore Hospital,Adverse Event Closure within 30 Days (%),63.23,75.0
2023-05,Waitakere Hospital,Hand Hygiene Compliance (%),85.27,80.0
2023-05,Waitakere Hospital,Falls per 1000 Bed Days,5.33,5.0
2023-05,Waitakere Hospital,Medication Errors per 1000 Admissions,2.4,2.5
2023-05,Waitakere Hospital,Pressure Injuries per 1000 Bed Days,1.01,1.5
2023-05,Waitakere Hospital,Patient Experience Score (%),81.08,85.0
2023-05,Waitakere Hospital,HAI Rate per 1000 Bed Days,1.43,1.5
2023-05,Waitakere Hospital,Complaint Resolution within 20 Days (%),70.29,80.0
2023-05,Waitakere Hospital,Adverse Event Closure within 30 Days (%),66.15,75.0
2023-05,Community Services North,Hand Hygiene Compliance (%),80.98,80.0
2023-05,Community Services North,Falls per 1000 Bed Days,7.24,5.0
2023-05,Community Services North,Medication Errors per 1000 Admissions,1.31,2.5
2023-05,Community Services North,Pressure Injuries per 1000 Bed Days,0.93,1.5
